FAIL	synth [setup failed]
FAIL	synth/sequencer [setup failed]
FAIL	synth/song [setup failed]
?   	synth/assets	[no test files]
?   	synth/cmd/pulsewave	[no test files]
goos: linux
goarch: amd64
pkg: synth/dsp
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkOscillator_Resolve/Sine_math.sin-8         	  334694	      3377 ns/op
BenchmarkOscillator_Resolve/Sine_math.sin-8         	  315342	      3349 ns/op
BenchmarkOscillator_Resolve/Sine_math.sin-8         	  351658	      3421 ns/op
BenchmarkOscillator_Resolve/Sine_math.sin-8         	  303402	      3455 ns/op
BenchmarkOscillator_Resolve/Sine_math.sin-8         	  340212	      3630 ns/op
BenchmarkOscillator_Resolve/Sine_math.sin-8         	  319022	      3351 ns/op
BenchmarkOscillator_Resolve/Sine_math.sin-8         	  343784	      3467 ns/op
BenchmarkOscillator_Resolve/Sine_math.sin-8         	  332607	      3525 ns/op
BenchmarkOscillator_Resolve/Sine_math.sin-8         	  312031	      3352 ns/op
BenchmarkOscillator_Resolve/Sine_math.sin-8         	  355249	      3343 ns/op
BenchmarkOscillator_Resolve/WT_1024-8               	  750902	      1634 ns/op
BenchmarkOscillator_Resolve/WT_1024-8               	  703957	      1730 ns/op
BenchmarkOscillator_Resolve/WT_1024-8               	  724368	      1564 ns/op
BenchmarkOscillator_Resolve/WT_1024-8               	  705674	      1714 ns/op
BenchmarkOscillator_Resolve/WT_1024-8               	  719858	      1659 ns/op
BenchmarkOscillator_Resolve/WT_1024-8               	  667486	      1636 ns/op
BenchmarkOscillator_Resolve/WT_1024-8               	  714698	      1598 ns/op
BenchmarkOscillator_Resolve/WT_1024-8               	  763330	      1642 ns/op
BenchmarkOscillator_Resolve/WT_1024-8               	  693045	      1765 ns/op
BenchmarkOscillator_Resolve/WT_1024-8               	  664003	      1618 ns/op
BenchmarkOscillator_Resolve/WT_512-8                	  668382	      1692 ns/op
BenchmarkOscillator_Resolve/WT_512-8                	  708951	      1646 ns/op
BenchmarkOscillator_Resolve/WT_512-8                	  745262	      1649 ns/op
BenchmarkOscillator_Resolve/WT_512-8                	  749569	      1679 ns/op
BenchmarkOscillator_Resolve/WT_512-8                	  705884	      1797 ns/op
BenchmarkOscillator_Resolve/WT_512-8                	  734922	      1642 ns/op
BenchmarkOscillator_Resolve/WT_512-8                	  535020	      1888 ns/op
BenchmarkOscillator_Resolve/WT_512-8                	  705385	      1625 ns/op
